article_number,article_details,book,chapter,section,linked_definitions,linked_articles
216,"المادة 216 من قانون العمل المصري: مع عدم الإخلال بأحكام قانون التأمين الاجتماعي تلتزم المنشأة وفروعها بإجراء ما يلى:
(أ) الكشف الطبي على العامل قبل التحاقه بالعمل للتأكد من سلامته ولياقته الصحية طبقا لنوع العمل الذي يسند إليه.
(ب) كشف القدرات للتأكد من لياقة العامل من ناحية قدراته الجسمانية والعقلية والنفسية بما يناسب احتياجات العمل.
وتجرى هذه الفحوص طبقا للأحكام المنظمة للتأمين الصحي ، ويصدر الوزير المختص بالاتفاق مع وزير الصحة قرارا بتحديد مستويات اللياقة والسلامة الصحية والقدرات العقلية والنفسية التى تتم على أساسها هذه الفحوص.",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الرابع: الخدمات الاجتماعية والصحية,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'الوزير المختص': 'الوزير المختص بالقوى العاملة.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص.'}",[]
217,"المادة 217 من قانون العمل المصري: تلتزم المنشأة وفروعها بما يأتي:
(أ) تدريب العامل على الأسس السليمة لأداء مهنته.
(ب) إحاطة العامل قبل مزاولة العمل بمخاطر مهنته وإلزامه باستخدام وسائل الوقاية المقررة لها مع توفير أدوات الوقاية الشخصية المناسبة وتدريبه على استخدامها.
و لا يجوز للمنشأة أن تحمل العامل أية نفقات أو تقتطع من أجره أية مبالغ لقاء توفير وسائل الحماية اللازمة له.",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الرابع: الخدمات الاجتماعية والصحية,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص.'}",[]
218,المادة 218 من قانون العمل المصري: يلتزم العامل بأن يستعمل وسائل الوقاية ويتعهد بالعناية بما في حوزته منها وبتنفيذ التعليمات الصادرة للمحافظة على صحته و وقايته من حوادث العمل ، وعليه ألا يرتكب أي فعل يقصد به منع تنفيذ التعليمات أو إساءة استعمال الوسائل الموضوعة لحماية وسلامة العمال المشتغلين معه أو تغييرها أو إلحاق ضرر أو تلف بها ، وذلك دون الإخلال بما يفرضه أي قانون آخر في هذا الشأن.,الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الرابع: الخدمات الاجتماعية والصحية,,{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه'},[]
219,"المادة 219 من قانون العمل المصري: تلتزم المنشأة وفروعها بإجراء ما يأتي:
(أ) التفتيش الدوري اليومي في كل وردية عمل على أماكن العمل وخاصة الخطرة منها لاكتشاف المخاطر المهنية والعمل على الوقاية منها.
(‌ب)	قيام طبيب المنشأة – إن وجد – بفحص شكوى العامل المرضية ومعرفة علاقتها بنوع العمل.
(‌ج)	التنسيق مع الهيئة العامة للتأمين الصحي لإجراء الفحص الطبي الدوري لجميع عمال المنشأة للمحافظة على لياقتهم الصحية وسلامتهم بصفة مستمرة ولاكتشاف ما يظهر من أمراض مهنية فى مراحلها الأولى ، ولإجراء الفحص عند انتهاء الخدمة ، وذلك كله طبقا لأنظمة التأمين الصحي المقررة فى هذا الشأن
",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الرابع: الخدمات الاجتماعية والصحية,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص.'}",[]
220,"المادة 220 من قانون العمل المصري: تلتزم المنشأة بأن توفر لعمالها وسائل الإسعافات الطبية.
وإذا زاد عدد عمال المنشأة فى مكان واحد أو بلد واحد أو فى دائرة نصف قطرها خمسة عشر كيلو مترا على خمسين عاملا تلتزم المنشأة بأن تستخدم ممرضا مؤهلا أو أكثر لأعمال التمريض أو الإسعاف بكل وردية عمل بها ، وأن تعهد إلى طبيب بعيادتهم فى المكان الذى تعده لهذا الغرض ، وأن تقدم لهم الأدوية اللازمة للعلاج وذلك كله بالمجان.
وإذا عولج العامل فى الحالتين المنصوص عليهما في الفقرتين السابقتين في مستشفى حكومي أو خيري وجب على المنشأة أن تؤدى إلى إدارة المستشفى نفقات العلاج والأدوية والإقامة.
ويتبع فى تحديد نفقات العلاج والأدوية والإقامة المنصوص عليها في الفقرات السابقة الطرق والأوضاع التي يصدر بها قرار من الوزير المختص بالاتفاق مع وزير الصحة.",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الرابع: الخدمات الاجتماعية والصحية,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'الوزير المختص': 'الوزير المختص بالقوى العاملة.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص.'}",[]
221,"المادة 221 من قانون العمل المصري: يلتزم من يستخدم عمالا فى أماكن لا تصل إليها وسائل المواصلات العادية أن يوفر لهم وسائل الانتقال المناسبة.
وعلى من يستخدم عمالا فى المناطق البعيدة عن العمران أن يوفر لهم التغذية المناسبة والمساكن الملائمة مع مراعاة تخصيص بعضها للعمال المتزوجين.
ويصدر الوزير المختص بالاتفاق مع الوزراء المعنيين ومع الاتحاد العام لنقابات عمال مصر ومنظمات أصحاب الأعمال القرارات اللازمة لتحديد المناطق البعيدة عن العمران واشتراطات ومواصفات المساكن ، وتعيين أصناف الطعام والكميات التى تقدم منها لكل عامل وما يؤديه صاحب العمل مقابلا لها.
ويجوز بالنسبة لنظام الوجبات الغذائية الواردة فى الفقرة السابقة الأخذ بنظام توافق عليه إدارة المنشأة والعمال بها أو ممثلوهم بشرط أن يعتمد من الجهة الإدارية المختصة ، وعلى ألا يتضمن هذا النظام الاستعاضة عن تقديم هذه الوجبات كلها أو بعضها مقابل أى بدل نقدي.",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الرابع: الخدمات الاجتماعية والصحية,,"{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'الوزير المختص': 'الوزير المختص بالقوى العاملة.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص.'}",[]
222,"المادة 222 من قانون العمل المصري: تلتزم المنشأة التي يبلغ عدد عمالها خمسين عاملا فأكثر بتقديم الخدمات الاجتماعية والثقافية اللازمة لعمالها ، وذلك بالاشتراك مع اللجنة النقابية - إن وجدت – أو مع ممثلين للعمال تختارهم النقابة العامة المختصة.
ويصدر قرار من الوزير المختص بعد موافقة الاتحاد العام لنقابات عمال مصر بتحديد الحد الأدنى لهذه الخدمات.",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الرابع: الخدمات الاجتماعية والصحية,,"{'الوزير المختص': 'الوزير المختص بالقوى العاملة.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون الخاص.'}",[]
223,"المادة 223 من قانون العمل المصري: ينشأ بالوزارة المختصة صندوق للخدمات الاجتماعية والصحية والثقافية على المستوى القومي.
وتلتزم كل منشأة يبلغ عدد عمالها عشرين عاملا فأكثر بدفع مبلغ لا يقل عن خمسة جنيهات سنويا عن كل عامل لتمويل هذا الصندوق.
ويصدر الوزير المختص قرارا بتحديد الخدمات المشار إليها والمبلغ الذي تلتزم كل منشأة بأدائه بما لا يقل عن الحد الأدنى المذكور ، وذلك كله بالاتفاق مع الاتحاد العام لنقابات عمال مصر ومنظمات أصحاب الأعمال.
كما يصدر الوزير المختص قرارا بتشكيل مجلس إدارة الصندوق مراعيا فى هذا التشكيل التمثيل الثلاثي وبناء على ترشيح كل جهة لمن يمثلها.
كما يصدر الوزير المختص قرارا باللائحة المالية والإدارية للصندوق متضمنة على وجه الخصوص كيفية التصرف فى حصيلة المبالغ المشار إليها والإجراءات الخاصة بذلك.

",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الخامس: التفتيش فى مجال السلامة والصحة المهنية وبيئة العمل,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
224,"المادة 224 من قانون العمل المصري: مع مراعاة الأحكام الواردة بالكتاب السادس من هذا القانون ، تلتزم الجهة الإدارية المختصة بما يأتي:
۱ - إعداد جهاز متخصص للتفتيش على المنشآت يتشكل من أعضاء تتوافر فيهم المؤهلات العلمية والخبرة اللازمة فى مجالات الطب والهندسة والعلوم وغيرها.
ويتولى الجهاز المشار إلية مراقبة تنفيذ أحكام السلامة والصحة المهنية وبيئة العمل ويتم التفتيش على أماكن العمل فى فترات دورية مناسبة.
۲ - تنظيم برامج تدريبية متخصصة ونوعية لرفع كفاءة ومستوى أداء أفراد جهاز التفتيش المشار إليه فى الفقرة السابقة ، وتزويدهم بالخبرات الفنية المتطورة بما يضمن أفضل مستويات السلامة والصحة المهنية وبيئة العمل.
۳ - تزويد جهاز التفتيش المشار إليه بأجهزة ومعدات القياس وكافة الإمكانيات اللازمة لأداء مهمته.
ويكون التفتيش على المنشآت المتعلق عملها بالأمن القومي والتي تحدد بقرار من رئيس مجلس الوزراء بمعرفة الجهة التي يحددها هذا القرار.
",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الخامس: التفتيش فى مجال السلامة والصحة المهنية وبيئة العمل,,{},[]
225,"المادة 225 من قانون العمل المصري: يكون لأفراد جهاز تفتيش السلامة والصحة المهنية وبيئة العمل في سبيل أداء عملهم:
(أ) إجراء بعض الفحوص الطبية والمعملية اللازمة على العمال بالمنشآت للتأكد من ملائمة ظروف العمل.
(‌ب)	أخذ عينات من المواد المستعملة أو المتداولة في العمليات الصناعية والتي قد يكون لها تأثير ضار على سلامة وصحة العمال أو بيئة العمل ، وذلك بغرض تحليلها والتعرف على الآثار الناتجة عن استخدامها وتداولها ، وإخطار المنشأة بذلك لاتخاذ ما يلزم فى هذا الشأن.
(‌ج)	استخدام المعدات والأجهزة وآلات التصوير وغيرها لتحليل أسباب الحوادث.
(‌د)	الإطلاع على خطة الطوارئ وتحليل المخاطر الخاصة بالمنشأة.
(هـ) الإطلاع على نتائج التقارير الفنية والإدارية التى ترد للمنشأة عن أنواع الحوادث الجسيمة وأسبابها.
(و) الإطلاع على كميات المخزون من المواد الخطرة التي تهدد المنشأة.
ويكون للجهة الإدارية المختصة بناء على تقرير جهاز تفتيش السلامة والصحة المهنية وبيئة العمل الأمر بإغلاق المنشأة كليا و جزئيا أو إيقاف آلة أو أكثر ، وذلك فى حالة وجود خطر داهم يهدد سلامة المنشأة أو صحة العمال و سلامة بيئة العمل حتى تزول أسباب الخطر.
وينفذ القرار الصادر بالإغلاق أو الإيقاف بالطرق الإدارية.
وتصدر الجهة المشار إليها الأمر بإلغاء الإغلاق أو الإيقاف عند زوال أسباب الخطر.",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب الخامس: التفتيش فى مجال السلامة والصحة المهنية وبيئة العمل,,{'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'},[]
226,"المادة 226 من قانون العمل المصري: يكون حق التفتيش بالنسبة لاشتراطات السلامة والصحة المهنية وبيئة العمل الواردة فى التراخيص لمفتشى السلامة والصحة المهنية وبيئة العمل تطبيقا لأحكام القوانين والقرارات المنظمة لها.

",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب السادس: تنظيم أجهزة السلامة والصحة المهنية وتأمين بيئة العمل بالمنشآت,,{},[]
227,"المادة 227 من قانون العمل المصري: يصدر الوزير المختص القرارات اللازمة بتحديد المنشآت وفروعها التي تلتزم بإنشاء أجهزة وظيفية للسلامة والصحة المهنية وتأمين بيئة العمل ، واللجان المختصة بذلك والجهات التي تتولى التدريب في هذه المجالات وتحدد هذه القرارات القواعد التي تتبع فى هذا الشأن.
وتختص اللجان المشار إليها ببحث ظروف العمل وأسباب الحوادث والإصابات والأمراض المهنية وغيرها ووضع القواعد الاحتياطات الكفيلة بمنعها ، وتكون قرارات هذه اللجان ملزمة للمنشآت وفروعها.
ويجب أن يشمل التدريب العاملين بالجهاز الوظيفي للسلامة والصحة المهنية وتأمين بيئة العمل وأعضاء اللجان المختصة بذلك والمسئولين عن الإدارة والإنتاج بكافة مستوياتهم بما يتفق ومسئولياتهم وطبيعة عملهم.",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب السادس: تنظيم أجهزة السلامة والصحة المهنية وتأمين بيئة العمل بالمنشآت,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
228,"المادة 228 من قانون العمل المصري: تلتزم كل منشأة صناعية يعمل بها خمسة عشر عاملا فأكثر ، وكل منشأة غير صناعية يعمل بها خمسون عاملا فأكثر بموافاة مديرية القوى العاملة المختصة بإحصائية نصف سنوية عن الأمراض والإصابات ، وذلك خلال النصف الأول من شهرى يوليو ويناير على الأكثر.
كما تلتزم كل منشأة من المنشآت الخاضعة لأحكام هذا الباب بإخطار المديرية المشار إليها بكل حادث جسيم يقع بالمنشأة وذلك خلال أربع وعشرين ساعة من وقوعه.
ويصدر الوزير المختص قرارا بالنماذج التى تستخدم لهذا الغرض.

",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب السابع: أجهزة البحوث والدراسات والأجهزة الاستشارية,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
229,المادة 229 من قانون العمل المصري: يختص المركز القومي لدراسات الأمن الصناعي بوضع الخطط المركزية للبحوث والدراسات فى مجالات السلامة والصحة المهنية وتأمين بيئة العمل ، ويتابع تنفيذها بالتنسيق مع الأجهزة المعنية فى الوزارة المختصة ، وذلك وفقا للقواعد والإجراءات التى يصدر بها قرار من الوزير المختص.,الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب السابع: أجهزة البحوث والدراسات والأجهزة الاستشارية,,"{'الوزير المختص': 'الوزير المختص بالقوى العاملة.', 'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'}",[]
230,"المادة 230 من قانون العمل المصري: يصدر بتشكيل المجلس الاستشاري الأعلى للسلامة والصحة المهنية وتأمين بيئة العمل قرار من رئيس مجلس الوزراء ، ويختص هذا المجلس برسم السياسة العامة فى هذه المجالات واقتراح ما يلزم فى شأن تنفيذ هذه السياسة.
ويراعى فى تشكيل المجلس أن يكون برئاسة الوزير المختص ، وعضوية ممثلين من الوزارات ذات الصلة ، وعدد متساو من ممثلي كل من منظمات أصحاب الأعمال والاتحاد العام لنقابات عمال مصر ، وعدد من ذوى الخبرة فى مجال السلامة والصحة المهنية وبيئة العمل.
ويصدر بتنظيم عمل هذا المجلس قرار من الوزير المختص.",الكتاب الخامس: السلامة والصحة المهنية وتأمين بيئة العمل,الباب السابع: أجهزة البحوث والدراسات والأجهزة الاستشارية,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
231,"المادة 231 من قانون العمل المصري: تشكل فى كل محافظة بقرار من المحافظ المختص لجنة استشارية للسلامة والصحة المهنية وتأمين بيئة العمل برئاسة المحافظ.
وتضم فى عضويتها ممثلين للجهات المعنية فى المحافظة ، وعددا متساويا من ممثلى منظمات أصحاب الأعمال وممثلى العمال فى المحافظة ، وعددا من ذوى الخبرة.
ويصدر بتحديد اختصاصات هذه اللجان ونظام العمل فيها قرار من الوزير المختص.


",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الأول: تفتيش العمل والضبطية القضائية,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
232,"المادة 232 من قانون العمل المصري: يكون للعاملين القائمين على تنفيذ أحكام هذا القانون والقرارات الصادرة تنفيذا له والذين يصدر بتحديدهم قرار من وزير العدل بالاتفاق مع الوزير المختص صفة مأموري الضبط القضائي بالنسبة للجرائم التي تقع في دوائر اختصاصهم وتكون متعلقة بأعمال وظائفهم.
ويحلف كل منهم قبل مباشرة عمله يمينا أمام الوزير المختص بأن يقوم بأداء عمله بالأمانة والإخلاص وألا يفشى سرا من أسرار العمل أو الاختراعات التي يطلع عليها بحكم وظيفته حتى بعد تركه العمل.",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الأول: تفتيش العمل والضبطية القضائية,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
233,"المادة 233 من قانون العمل المصري: يحمل العامل الذي له صفة الضبطية القضائية بطاقة تثبت هذه الصفة ، وله حق دخول جميع أماكن العمل وتفتيشها للتحقق من تطبيق أحكام هذا القانون والقرارات المنفذة له ، وفحص الدفاتر والأوراق المتعلقة بذلك ، وطلب المستندات والبيانات اللازمة من أصحاب الأعمال أو من ينوب عنهم.
ويحدد الوزير المختص بقرار منه قواعد التكليف بتفتيش أماكن العمل ليلا وفى غير أوقات العمل الرسمية للقائمين به والمكافآت التي تستحق لهم.",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الأول: تفتيش العمل والضبطية القضائية,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'الوزير المختص': 'الوزير المختص بالقوى العاملة.'}",[]
234,المادة 234 من قانون العمل المصري: على أصحاب الأعمال أو من ينوب عنهم أن يسهلوا مهمة المكلفين بمراقبة تنفيذ أحكام هذا القانون والقرارات المنفذة له وأن يقدموا لهم المستندات والبيانات اللازمة لأداء مهمتهم.,الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الأول: تفتيش العمل والضبطية القضائية,,{},[]
235,المادة 235 من قانون العمل المصري: على أصحاب الأعمال أو من ينوب عنهم الاستجابة لطلبات الحضور التي توجه إليهم من العاملين المشار إليهم في المادة (232) من هذا القانون وذلك في المواعيد التي يحددونها.,الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الأول: تفتيش العمل والضبطية القضائية,,{},[232]
236,"المادة 236 من قانون العمل المصري: على السلطات المختصة مساعدة العاملين المكلفين بمراقبة تنفيذ هذا القانون والقرارات المنفذة له عند قيامهم بوظائفهم متى طلب ذلك منها.


",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,{},[]
237,المادة 237 من قانون العمل المصري: مع عدم الإخلال بأية عقوبة أشد ينص عليها أي قانون آخر ، يعاقب بالعقوبات المنصوص عليها فى المواد التالية عن الجرائم المشار إليها فيها.,الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,{},[]
238,المادة 238 من قانون العمل المصري: يعاقب كل من يخالف حكم الفقرة الثانية من المادة (13) من هذا القانون بغرامة لا تقل عن خمسين جنيها ولا تجاوز مائة جنيه، وتتعدد الغرامة بتعدد العمال الذين وقعت في شأنهم الجريمة و تضاعف الغرامة في حالة العود.,الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,{},[13]
239,"المادة 239 من قانون العمل المصري: يعاقب كل من يخالف أيا من أحكام الفقرتين الأولى والثانية من المادة (15) من هذا القانون بغرامة لا تقل عن مائتي جنيه ولا تجاوز خمسة آلاف جنيه.
ويكون الحد الأدنى للغرامة ألف جنيه عند مخالفة أى من أحكام الفقرة الثالثة من المادة المشار إليها.",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,{},[15]
240,المادة 240 من قانون العمل المصري: يعاقب كل من يخالف حكم الفقرة الثانية من المادة (16) من هذا القانون بغرامة لا تقل عن ألف جنيه ولا تجاوز خمسة آلاف جنيه وتتعدد الغرامة بتعدد العمال الذين وقعت في شأنهم الجريمة. وتضاعف الغرامة في حالة العود.,الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,{},[16]
241,المادة 241 من قانون العمل المصري: يعاقب كل من يخالف أيا من أحكام القرارات الوزارية المنفذة للمادة (26) من هذا القانون بغرامة لا تقل عن خمسين جنيها ولا تجاوز خمسمائة جنيه وتتعدد الغرامة بتعدد العمال الذين وقعت في شأنهم الجريمة وتضاعف الغرامة في حالة العود.,الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,{},[26]
242,"المادة 242 من قانون العمل المصري: يعاقب بالحبس مدة لا تقل عن شهر ولا تجاوز سنة وبغرامة لا تقل عن عشرة آلاف جنيه ولا تجاوز عشرين ألف جنيه أو بإحدى هاتين العقوبتين كل من ارتكب إحدى الجرائم الآتية:
۱ - مزاولة عمليات إلحاق المصريين بالعمل داخل جمهورية مصر العربية أو خارجها من غير الجهات المحددة فى المادة (17) من هذا القانون دون الحصول على الترخيص المنصوص عليه فيها أو بترخيص صادر بناء على بيانات غير صحيحة.
۲ - تقاضى مبالغ من العامل نظير إلحاقه بالعمل داخل جمهورية مصر العربية أو خارجها بالمخالفة لأحكام المادة (21) من هذا القانون أو تقاضى مبالغ دون وجه حق من أجر العامل أو من مستحقاته عن عمله فى الداخل أو فى الخارج.
۳ - مخالفة الأحكام الواردة بالفقرة الأولى من المادة (20) من هذا القانون أو تقديم بيانات غير صحيحة عن اتفاقيات أو عقود إلحاق المصريين بالعمل خارج جمهورية مصر العربية ، أو أجورهم أو نوعية أو ظروف عملهم أو أية شروط أخرى تتعلق بهذا العمل إلى الوزارة المختصة أو غيرها من الجهات المختصة.
وفى جميع الأحوال يحكم برد المبالغ التى تم تقاضيها أو الحصول عليها دون وجه حق وتقضى المحكمة – من تلقاء نفسها – بالتعويضات للمضرور من الجريمة عما اصابه من ضرر بسبب الجريمة المنصوص عليها فى البند (3) من هذه المادة.",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'}","[17, 20, 21]"
243,المادة 243 من قانون العمل المصري: يعاقب بغرامة لا تقل عن ألفى جنيه ولا تجاوز عشرة آلاف جنيه كل من يخالف أيا من أحكام المادة (24) من هذا القانون أو القرارات الوزارية الصادرة تنفيذا لها.,الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,{},[24]
244,"المادة 244 من قانون العمل المصري: يقضى فى الحكم الصادر بالإدانة فى أى من الجرائم المنصوص عليها فى المادتين السابقتين بغلق مقر المنشأة الذى وقعت فيه الجريمة وينشر الحكم فى جريدتين يوميتين واسعتي الانتشار على نفقة المحكوم عليه.
كما يقتضى ما يحكم به من غرامات أو رد أو تعويضات من قيمة خطاب الضمان المنصوص عليه فى البند (3) من المادة (22) من هذا القانون وتتبع القواعد المقررة للتنفيذ فيما يزيد عن تلك القيمة.",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,{'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'},[22]
245,"المادة 245 من قانون العمل المصري: يعاقب كل من يخالف أيا من أحكام الفصل الثاني من الباب الأول من الكتاب الثاني بشأن تنظيم عمل الأجانب والقرارات الوزارية الصادرة تنفيذا له بغرامة لا تقل عن خمسمائة جنيه ولا تجاوز خمسة آلاف جنيه.
وتتعدد الغرامة بتعدد العمال الذين وقعت فى شأنهم الجريمة وتضاعف الغرامة في حالة العود.",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,{},[]
246,"المادة 246 من قانون العمل المصري: يعاقب صاحب العمل أو من يمثله عن المنشأة الذى يخالف حكم المادة (32) من هذا القانون بغرامة لا تقل عن خمسين جنيها ولا تجاوز مائة جنيه.
وتعدد الغرامة بتعدد العمال الذين وقعت فى شأنهم الجريمة وتضاعف الغرامة فى حالة العود.",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,"{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}",[32]
247,"المادة 247 من قانون العمل المصري: يعاقب صاحب العمل أو من يمثله عن المنشأة بغرامة لا تقل عن مائة جنيه ولا تجاوز خمسمائة جنيه إذا خالف أيا من أحكام المواد (63 ، 62 ، 61 ، 59 ، 58 ، 54 ، 52 ، 49 ، 48 ، 47 ، 46 ، 45 ، 44 ، 43 ، 42 ، 41 ، 40 ، 38 ، 37 ، 35 ، 33، 64 ، 65 ،  66، 67 ، 68) من هذا القانون والقرارات الوزارية المنفذة لها.
وتتعدد الغرامة بتعدد العمال الذين وقعت في شأنهم الجريمة وتضاعف الغرامة فى حالة العود.",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,"{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}","[33, 35, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 52, 54, 58, 59, 61, 62, 63, 64, 65, 66, 67, 68]"
248,المادة 248 من قانون العمل المصري: يعاقب صاحب العمل أو من يمثله عن المنشأة الذي يخالف أيا من أحكام المواد( 73 (فقرة ثانية) ، 74 ، 75 ،98  ، 90 ، 98 ، 99 ، 100 ، 101 ،  102)من هذا القانون والقرارات الوزارية المنفذة لها بغرامة لا تقل عن خمسمائة جنيه ولا تجاوز ألف جنيه ، وتتعدد الغرامة بتعدد العمال الذين وقعت فى شأنهم الجريمة وتضاعف الغرامة فى حالة العود .,الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,"{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}","[73, 74, 75, 90, 98, 99, 100, 101, 102]"
249,"المادة 249 من قانون العمل المصري: يعاقب صاحب العمل أو من يمثله عن المنشأة الذي يخالف أيا من أحكام المواد (76 ، 77 ، 78 ، 79 ، 80 ، 81 ، 82 ، 83 ، 84 ، 85 ، 86 ، 87 ، 88 ، 91 ، 92 ، 93 ، 94 ،  95، 96 ، 139 ، 140 ، 142 ، 144) من هذا القانون والقرارات الوزارية المنفذة لها بغرامة لا تقل عن مائة جنيه و لا تجاوز مائتي جنيه.
وتتعدد الغرامة بتعدد العمال الذين وقعت فى شأنهم الجريمة وتضاعف الغرامة فى حالة العود.",الكتاب السادس: تفتيش العمل والضبطية القضائية والعقوبات,الباب الثاني: العقوبات,,"{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}","[76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 91, 92, 93, 94, 95, 96, 139, 140, 142, 144]"
